"116h -- Rakennukset (lkm, m2) käyttötarkoituksen ja lämmitysaineen mukaan, 2019"

"Rakennuksen lämmitysaine","Alue","Vuosi","Rakennuksen kerrosala (m2) Yhteensä","Rakennuksen kerrosala (m2) Erilliset pientalot","Rakennuksen kerrosala (m2) Rivi- ja ketjutalot","Rakennuksen kerrosala (m2) Asuinkerrostalot","Rakennuksen kerrosala (m2) Liikerakennukset","Rakennuksen kerrosala (m2) Toimistorakennukset","Rakennuksen kerrosala (m2) Liikenteen rakennukset","Rakennuksen kerrosala (m2) Hoitoalan rakennukset","Rakennuksen kerrosala (m2) Kokoontumisrakennukset","Rakennuksen kerrosala (m2) Opetusrakennukset","Rakennuksen kerrosala (m2) Teollisuusrakennukset","Rakennuksen kerrosala (m2) Varastorakennukset","Rakennuksen kerrosala (m2) Muut rakennukset"
"Yhteensä","Merikarvia","2019",376248,194347,12889,12712,19615,6064,8269,6851,11703,10900,46589,32108,14201
"Yhteensä","Miehikkälä","2019",202725,126668,13232,2908,4022,2940,7237,9027,4099,9361,8741,14315,175
"Yhteensä","Mikkeli","2019",4904919,1813305,348959,974371,390107,158410,110257,204900,132614,230099,395677,137111,9109
"Yhteensä","Muhos","2019",682279,400499,60330,24114,45118,6448,14656,25751,15270,54777,20850,10738,3728
"Yhteensä","Multia","2019",168257,102645,14091,2106,4597,2524,3269,5963,4207,6942,13319,7519,1075
"Yhteensä","Muonio","2019",254246,134686,9679,1560,46640,6013,19292,6941,5850,13497,3131,4826,2131
"Yhteensä","Mustasaari","2019",1651759,946101,125069,68625,53583,14550,75610,33996,20338,49436,190755,64797,8899
"Yhteensä","Muurame","2019",775626,419620,68917,68478,32727,9422,4156,30833,5928,22674,101061,8999,2811
"Yhteensä","Mynämäki","2019",694463,396210,52508,23255,23572,10687,15737,18625,11176,27272,66447,44639,4335
"Yhteensä","Myrskylä","2019",169265,112577,11298,0,3639,2356,8456,4503,3418,2934,11693,6202,2189
"Yhteensä","Mäntsälä","2019",1728314,930535,106330,150913,72628,20294,49452,33575,24740,66805,117315,150158,5569
"Yhteensä","Mänttä-Vilppula","2019",1239359,408976,93179,166806,53087,20200,30345,47838,35572,42539,241575,95555,3687
"Yhteensä","Mäntyharju","2019",641025,299384,59193,49887,48827,15127,22324,18283,12535,17890,80466,15507,1602
"Yhteensä","Naantali","2019",1706494,686050,166304,288267,76438,27229,32511,25103,18988,45351,219029,114215,7009
"Yhteensä","Nakkila","2019",598801,291779,28246,24392,17684,11836,23523,6750,13296,14268,134568,30135,2324
"Yhteensä","Nivala","2019",923893,494281,74826,35691,43686,11122,16055,20935,24406,63654,117092,19277,2868
"Yhteensä","Nokia","2019",3097528,1054501,244882,485945,159559,28548,39951,103823,45509,81953,748259,99224,5374
"Yhteensä","Nousiainen","2019",423087,303889,19165,18203,4880,5305,6131,8264,5500,16800,20071,8690,6189
"Yhteensä","Nurmes","2019",985403,465495,86104,101183,77156,21023,34135,29932,23900,52965,62825,27616,3069
"Yhteensä","Nurmijärvi","2019",3344559,1649715,287740,383997,110972,45850,75284,80875,44687,111099,350777,192400,11163
"Yhteensä","Närpiö","2019",1075255,542398,36785,53670,75967,21560,37093,28990,33821,32065,163460,45732,3714
"Yhteensä","Orimattila","2019",1591198,782621,94473,126157,68860,20673,32334,26740,41052,48613,180616,154258,14801
"Yhteensä","Oripää","2019",154912,81011,9710,2999,8682,1988,7318,744,4550,1794,18331,6110,11675
"Yhteensä","Orivesi","2019",837367,445094,68585,80135,54315,11470,14372,19313,20166,31960,61636,26593,3728
"Yhteensä","Oulainen","2019",713434,318398,72875,49128,40379,16456,14784,36351,18643,35952,84998,22890,2580
"Yhteensä","Oulu","2019",16219358,4859483,1549822,4325175,946312,655672,486030,496746,402030,796623,1007125,635466,58874
"Yhteensä","Outokumpu","2019",711000,273764,67216,68545,35627,11085,12958,13011,18868,30067,152356,26893,610
"Yhteensä","Padasjoki","2019",320962,172949,19188,20670,21140,3991,8151,13084,5221,13755,35781,5722,1310
"Yhteensä","Paimio","2019",918815,470964,72296,111324,34094,14884,9130,46896,15977,34143,73550,34642,915
"Yhteensä","Paltamo","2019",345615,178970,37474,6965,15417,8420,10516,7921,7144,21594,35952,14159,1083
"Yhteensä","Parainen","2019",1524699,777902,86161,118095,84624,48247,50870,42927,29168,50743,172198,59329,4435
"Yhteensä","Parikkala","2019",501726,294448,34320,26978,38812,14633,14677,9530,12711,5089,37037,11766,1725
"Yhteensä","Parkano","2019",813003,343139,43372,53289,57426,17581,30870,17509,13098,23196,144508,67196,1819
"Yhteensä","Pedersören kunta","2019",976920,558092,28121,14378,13592,16778,43407,19848,14337,34875,168812,58376,6304
"Yhteensä","Pelkosenniemi","2019",133372,60847,9444,1552,35839,2144,1473,4932,3758,6111,5009,1481,782
"Yhteensä","Pello","2019",376277,225146,13790,11966,37026,11039,11111,1096,6352,12614,31983,12301,1853
"Yhteensä","Perho","2019",239079,145695,15101,0,9769,3348,5088,5471,4659,11189,28271,8646,1842
"Yhteensä","Pertunmaa","2019",176655,99118,19734,1523,16448,4887,4786,3049,2848,5612,13143,4671,836
"Yhteensä","Petäjävesi","2019",346533,205582,25327,13188,12935,5682,5893,10676,5023,17266,40090,4123,748
"Yhteensä","Pieksämäki","2019",1818051,748968,138993,289151,107233,48471,79913,73304,40185,63291,178986,46112,3444
"Yhteensä","Pielavesi","2019",418895,247841,28212,26885,24479,7707,13189,12146,12248,20498,17032,7035,1623
"Yhteensä","Pietarsaari","2019",1828179,622191,97079,290247,134716,78805,45446,48026,79095,76332,264739,83923,7580
"Yhteensä","Pihtipudas","2019",408148,221946,45920,9418,26719,9997,11686,14988,11649,14206,29797,10300,1522
